"family","r_mu","r_sd"
"Ammodytidae",0.89508765675031,0.206411117914664
"Palinuridae",0.845454797940419,0.206411117914664
"Osmeridae",0.616071759215719,0.206411117914664
"Labridae",0.541814928058663,0.206411117914664
"Sillaginidae",0.469474290101693,0.206411117914664
"Soleidae",0.452888123496327,0.206411117914664
"Clupeidae",0.447953640028963,0.206411117914664
"Centrolophidae",0.439391059193661,0.206411117914664
"Lophiidae",0.438144593472791,0.206411117914664
"Gadidae",0.434947476874802,0.206411117914664
"Hexagrammidae",0.423519156562177,0.206411117914664
"Serranidae",0.422898794949729,0.206411117914664
"Engraulidae",0.386636338322073,0.206411117914664
"Scombridae",0.384770051485226,0.206411117914664
"Xiphiidae",0.377095613114809,0.206411117914664
"Scophthalmidae",0.357479636968143,0.206411117914664
"Merlucciidae",0.324535194854385,0.206411117914664
"Malacanthidae",0.263127889271895,0.206411117914664
"Platycephalidae",0.260687874354029,0.206411117914664
"Pleuronectidae",0.258325541677538,0.206411117914664
"Arripidae",0.249767969522928,0.206411117914664
"Cottidae",0.223056534213381,0.206411117914664
"Pomatomidae",0.169152190465312,0.206411117914664
"Anoplopomatidae",0.160010893610559,0.206411117914664
"Carangidae",0.155263749885518,0.206411117914664
"Gempylidae",0.140396127455024,0.206411117914664
"Ophidiidae",0.128020160059445,0.206411117914664
"Scorpaenidae",0.126753134504257,0.206411117914664
"Sparidae",0.11653156144219,0.206411117914664
"Cheilodactylidae",0.0893368890618812,0.206411117914664
"Trachichthyidae",0.075939236592571,0.206411117914664
"Oreosomatidae",0.0694096931134315,0.206411117914664
"Rajidae",0.0643974020837476,0.206411117914664
